ID,DHO
0,2422.2064334566953
1,2390.380480392668
2,2380.7189751889778
3,2370.750559978119
4,2360.4609142979343
5,2347.2045816121467
6,2321.1848950304043
7,2308.8063481406284
8,2296.758038598216
9,2283.1771005774085
10,2281.8401177557475
11,2280.612174245149
12,2279.117223382859
13,2278.4815969982355
14,2277.2591265448596
15,2274.3261397091055
16,2269.9211762101377
17,2269.5807071651284
18,2268.336165880649
19,2266.328252428449
20,2266.681180620927
21,2267.436708329328
22,2266.185035026644
23,2264.972334252902
24,2265.0794903083615
25,2263.5166745706447
26,2262.579219427611
27,2262.4042666407527
28,2262.5925741903047
29,2263.868927297434
30,2264.0165273176754
31,2263.493389708203
32,2261.7842102810782
33,2260.0242734561516
34,2260.1231892271517
35,2258.7116825037
36,2258.5709505476293
37,2258.850708622217
38,2257.8108202387602
39,2259.00273563845
40,2262.880956288495
41,2259.6230737609217
42,2254.0648805732317
43,2253.714118298487
44,2253.0659428497574
45,2244.893579683787
46,2239.827856163875
47,2237.290854744116
48,2236.4661458049877
49,2236.638368945673
50,2234.977815027657
51,2234.1868553265977
52,2234.2298594505114
53,2234.425477469201
54,2234.9463986823985
55,2235.108431778301
56,2235.723757727345
57,2235.710906914849
58,2237.0564270998902
59,2236.5728164516436
60,2235.798170474148
61,2234.736493888403
62,2235.3319693675153
63,2233.9647689219387
64,2234.324431456832
65,2235.361131298348
66,2234.617974643679
67,2234.5324351983004
68,2234.046945190195
69,2234.42839278455
70,2233.392787401429
71,2233.119238913668
72,2233.3210972425945
73,2233.306658352786
74,2233.4190692056045
75,2233.846581446527
76,2234.1493859329257
77,2233.1352641097387
78,2231.2252073670306
79,2231.7692671205223
80,2231.927059461753
81,2233.1875521247484
82,2232.9937789780834
83,2232.195475524156
84,2232.7770381446694
85,2233.1437340536672
86,2232.8040551431327
87,2233.185349615881
88,2232.762303124391
89,2223.2104333271673
90,2220.9011696854773
91,2220.0744858216876
92,2220.3801478328983
93,2221.067120912435
94,2220.8466582174738
95,2220.281778483237
96,2220.1538938436074
97,2219.590516256592
