,HI_WOA,DHO,ChaoticWhale,ImprovedGA,OriginalGSKA,OriginalHGS,L_SHADE,BaseSMA,OriginalSMA,AdaptiveEO
0,58504.147275480085,335335.0615837014,616455.7584084811,626803.7163365551,1937044.1850712723,2414042.9087097417,101844.47266063606,884520.8984834956,369318.9791501771,91302.86449782152
1,58504.147275480085,14694.472372978558,140152.23390479526,63591.054998614025,78585.49482158574,628570.459009065,101844.47266063606,128600.53630573608,3380761.911975092,91244.79663748373
2,58504.147275480085,5577.544911045516,116862.70856001752,10643.377824694857,78585.49482158574,248102.57339204592,101844.47266063606,29509.19217788383,428420.738538164,91123.10116063422
3,58504.147275480085,4847.644772200336,111675.00163948884,10643.377824694857,40073.84267584043,33730.08994859858,101844.47266063606,259162.966009782,4824123.465067425,90924.85907938697
4,58504.147275480085,4942.317018577171,106799.55462906593,10643.377824694857,40073.84267584043,27050.10505774815,73546.77230340388,4788090.706819552,1708769.916917184,90588.78546274248
5,58504.147275480085,4685.607659626918,98190.97773124138,10643.377824694857,40073.84267584043,25871.623714760884,14314.238798337869,802835.9215679296,14670607.9504528,89943.15553697418
6,58504.147275480085,4679.099753955916,80110.80271449889,10643.377824694857,40073.84267584043,24183.51599637576,14314.238798337869,4833467.893125746,5985106.391073307,89265.88594918272
7,58504.147275480085,4547.75484637423,76966.87772973996,10643.377824694857,40073.84267584043,17658.83766663441,14314.238798337869,49951.62173029054,75308.30873625548,88712.20766379102
8,58504.147275480085,5274.312305604053,73385.17901820272,10643.377824694857,40073.84267584043,13799.593660621533,14314.238798337869,49789.70210710078,275652.3175692224,88314.24309763277
9,58504.147275480085,4461.664301585793,63172.84775643842,10643.377824694857,16807.454723986073,12821.413472093467,14314.238798337869,33926.9516868062,717344.8640549389,88101.3320489955
10,22877.76315519908,5286.52199120643,52458.220565535856,10643.377824694857,16807.454723986073,12813.525360703765,14314.238798337869,33490.54391648579,315578.1972346299,88083.59735111923
11,22877.76315519908,5993.310369450364,21501.184718586195,10643.377824694857,16807.454723986073,12783.613975158089,14314.238798337869,88338.65716878285,476330.755959527,88081.7464609148
12,22877.76315519908,5216.024625605172,8949.321190042418,10643.377824694857,16807.454723986073,12779.08737486456,14314.238798337869,416152.7428784999,246400.28153370944,88080.94543715836
13,22877.76315519908,4813.240676834859,8735.785162906148,10643.377824694857,16807.454723986073,12776.706415721826,14314.238798337869,40880.75238487122,48691353.24170098,88048.80892562745
14,22877.76315519908,4565.93157207397,8157.334212711169,4806.77458283116,16807.454723986073,12776.119599777228,14314.238798337869,37467.65990255941,2492393.2101706704,88042.81747122215
15,22877.76315519908,4656.659939516319,8102.796535354772,4806.77458283116,16807.454723986073,12772.131152631368,14314.238798337869,39735.23243733275,531507.1616211258,88026.4487883979
16,22877.76315519908,4616.061985085892,8000.929969494206,4806.77458283116,16807.454723986073,12753.283655229014,11642.026930673246,28471.57025109187,293979.04937409103,87992.74415185346
17,22877.76315519908,5277.211544010796,7956.6229369206385,4806.77458283116,16807.454723986073,12744.893267282556,11642.026930673246,217310.3531748076,644085.7068857241,87972.09742746937
18,22877.76315519908,6612.792995115469,7955.638002202029,4806.77458283116,16807.454723986073,12738.96290868031,11642.026930673246,216923.8050863961,2188390.859354998,87928.57285935873
19,22877.76315519908,4673.642141664475,7953.8330767853795,4806.77458283116,16807.454723986073,12706.905897760622,5714.150688384639,154499.94580532084,1656922.6935938608,87899.44175097838
20,22877.76315519908,4498.753644756896,7944.373043415938,4806.77458283116,6314.594882564805,12650.05848291778,5714.150688384639,4184959.455308048,6290220.22936233,87895.78397116673
21,22877.76315519908,4502.597927805305,7935.255119326836,4806.77458283116,6314.594882564805,12572.782401515096,3316.709444004536,338449.3255397224,250513.18926235643,87872.95281484282
22,22877.76315519908,5120.903520986685,7933.844920507101,4806.77458283116,6314.594882564805,12410.90972645405,3316.709444004536,153102.32410746094,8793684.322439,87823.22660808143
23,22877.76315519908,4992.311388006548,7925.302012065228,4806.77458283116,2431.0015354084635,12226.123370152638,3316.709444004536,52312.4990466131,1355332.6964006787,87822.95321217719
24,18403.50268180649,4482.658598395023,7911.697963263999,4806.77458283116,2431.0015354084635,12005.70247239694,3316.709444004536,102009.38305859995,1394290.558422557,87654.0216265605
25,18403.50268180649,4502.239240591876,7894.815856440304,4806.77458283116,2431.0015354084635,11984.25268441438,3316.709444004536,262884.2568674332,1369113.9421443325,87650.4576212138
26,18403.50268180649,4485.047321996932,7817.120465620404,4806.77458283116,2431.0015354084635,11936.80404962518,2530.27768429321,850243.3038368695,4423922.20075098,87634.79431720026
27,18403.50268180649,4484.046754388442,7647.052423959361,4806.77458283116,2431.0015354084635,11923.455756634454,2530.27768429321,490083.6875248948,3533164.2975001144,87608.17084390028
28,18403.50268180649,4953.2511623344335,7505.586349622805,4806.77458283116,2431.0015354084635,11916.334293609132,2034.8862911969352,475424.4561994936,2546639.6359623745,87607.96259242085
29,18403.50268180649,5445.056509496557,7433.651076458234,4806.77458283116,2431.0015354084635,11914.369974349316,2034.8862911969352,237000.1403160986,109995.22070286157,87596.68649827977
30,18403.50268180649,5517.856408134684,7405.786670843903,4806.77458283116,2431.0015354084635,11914.106316327616,2034.8862911969352,165356.39975043008,166746.2269586058,87594.95822612825
31,18403.50268180649,4354.0959295498415,7405.03596731068,4806.77458283116,2431.0015354084635,11914.005098509542,2034.8862911969352,50744.87856449057,2992159.310756008,87346.16504803728
32,18403.50268180649,4284.775930158892,7398.017627619143,4806.77458283116,2431.0015354084635,11913.975242865592,1926.6912410797397,53290.424536388695,117667.8175067466,87344.21877330454
33,18403.50268180649,3914.782590694363,7395.339918550112,4806.77458283116,2431.0015354084635,11913.78146508738,1926.6912410797397,28648.90556514704,306427.18463609106,87182.87679807571
34,18403.50268180649,3800.66073403714,7395.288607914661,3125.584790811108,2431.0015354084635,11912.765470679486,1926.6912410797397,389344.3994832352,84870.4194283998,87119.06872656093
35,18403.50268180649,3782.889383982831,7395.23843500321,3125.584790811108,2431.0015354084635,11912.331328689135,1926.6912410797397,587542.1259491843,145390.63060091133,87041.64188174672
36,18403.50268180649,3748.5177043026415,7395.231295008739,3125.584790811108,2431.0015354084635,11911.52224280257,1926.6912410797397,46812.87725564042,33968.357183404965,86902.80928740295
37,18403.50268180649,3773.427079944487,7394.787143262375,3125.584790811108,2431.0015354084635,11911.04245405948,1926.6912410797397,42477.75853199988,39125.50422957994,86879.61958813644
38,18403.50268180649,3761.003872703027,7394.682813490135,2942.206287267707,2431.0015354084635,11910.43903148062,1872.17861137523,54667.01135861219,37776.33825660084,86870.39945076969
39,18403.50268180649,3791.1587611426903,7394.470070196895,2942.206287267707,2431.0015354084635,11910.268424580256,1872.17861137523,59338.99719290157,3957230.0156745855,86715.15308948634
40,18403.50268180649,4649.857248520238,7394.414709142915,2942.206287267707,2431.0015354084635,11909.906010837172,1872.17861137523,49477.17437520382,111477.42700970428,86696.91577096861
